chap,text
Chapters 37–39 ,"Summary: Chapter 37  Emma thinks about her agitation upon hearing of Frank’s
impending arrival and decides that she feels such apprehension more
on his behalf than her own—her attachment to him is not very strong. When
she sees him again, he is friendly and spirited but visits for only
fifteen minutes. Frank’s short visit convinces Emma that his feelings
as well must have weakened. Because of his aunt’s demands, Frank
is kept away for ten days after this first visit. Mrs. Churchill eventually
determines that her family must move from London to Richmond, which
places Frank closer to Highbury. Mr. Weston is delighted to have
his son nearer, and a date is set for the long-postponed ball. Summary: Chapter 38  The day of the ball arrives. Emma is invited by Mr. Weston
to come early and give her opinion on the arrangements, and she
believes that this opportunity will give some privacy to her second
meeting with Frank, who will be with his father. But Emma is not
the only one of Mr. Weston’s “favourites” that he has entreated
to come early, and all the while Frank seems excited but restless,
constantly moving to see who has arrived. Finally, when Jane and
Miss Bates arrive, Frank rushes out to help them with umbrellas.
Mrs. Elton pronounces Frank a very fine young man. Miss Bates overwhelms everyone
with exclamations of gratitude and pleasure. Frank tells Emma that
he dislikes Mrs. Elton and her familiar manner with Jane, and he
runs off again to ask his father when the dancing will begin. 	Mr. and Mrs. Weston suddenly realize that Mrs. Elton
expects to be asked to lead the dance and that they cannot give
Emma that honor, as they had hoped. Despite this slight disappointment,
Emma enjoys the beginning of the festivities, though she is disturbed
that Mr. Knightley will not dance. She admires the figure he cuts
among the other men, and he notices that he is watching her. The
ball is a success, and only one episode mars Emma’s enjoyment. During
one dance, Harriet is left without a partner, and Mr. Elton, the
one dancer who is disengaged, pointedly refuses to ask her. Mr.
Knightley soothes Harriet’s embarrassment by asking her to dance,
and Emma is very pleased with him. Later, she expresses her gratitude, and
he asks her why the Eltons are her enemies. She admits that she wanted
Mr. Elton to marry Harriet and acknowledges that Knightley was right
about his character. Knightley in return admits that Harriet has
more admirable qualities than he originally thought. Emma and Knightley
cement their new mutual understanding with a dance. Summary: Chapter 39  Emma looks back on her talk with Mr. Knightley at the
ball with pleasure, and she rejoices that the Eltons’ rudeness has
cured Harriet of her infatuation with Mr. Elton. Suddenly, Frank
appears with Harriet, fainting, on his arm. When revived, Harriet
tells the story of how she was walking with a friend, Miss Bickerton,
when a Gypsy child approached to beg from them. Miss Bickerton,
frightened, ran away, but Harriet was unable to follow because of
a cramp she had gotten at the ball. Just as she started to panic,
a group of Gypsies surrounded her and demanded money. Frank happened
to be walking along and frightened the Gypsies away. Emma cannot
help but wonder whether this romantic circumstance might make Harriet
and Frank interesting to each other. The episode alarms Mr. Woodhouse and
is occasion for gossip, but the Gypsies leave the neighborhood and
no harm is done. Analysis: Chapters 37–39 Emma’s honest reflections about her lack of substantive
feelings for Frank reveal her growing maturity. She no longer sees
him as a character in the scenes she imagines for herself, someone
who is important simply because he gives her the opportunity to
show off her accomplishments and elegance. She recognizes that if
their two-month separation has not cooled his love, “there were
dangers and evils before her: caution for him and for herself would
be necessary.” Rather than anticipating a dramatic scene, she now
hopes that “she might be able to keep him from an absolute declaration. That
would be so very painful a conclusion of their present acquaintance.”
Emma’s decision to observe Frank to see how he feels, rather than
to begin with an assumption about how he feels, enables her to understand
that Frank is not in love with her. The narrator makes clear that
Emma’s vanity is not at issue in this case—she is relieved, not
offended, that Frank’s feelings are cooled, and at the dance, she seems
to find more interest in puzzling about his odd mood than in courting
his attention. When Frank and Emma dance, instead of imagining how
elegant they look to others, she admires how elegant Mr. Knightley
looks. Emma has become more concerned with observing others, and
less concerned with being observed by others. 	The Gypsies Harriet describes encountering in Chapter  "
Chapters 46–48 ,"Summary: Chapter 46  Mr. Weston arrives to escort Emma to see Mrs. Weston—clearly something
is amiss. Assured that Mrs. Weston is well, Emma’s first concern
is for Isabella’s family and for Mr. Knightley in London, but Mr.
Weston assures her that the news does not involve them. At Randalls,
Emma is greeted by Mrs. Weston, who explains that Frank has just
revealed that he and Jane have been secretly engaged. Emma is shocked,
embarrassed by the things she has said to Frank about Jane, and
concerned for Harriet’s feelings. 	Emma quickly relieves Mrs. Weston by assuring her that
she has no feelings for Frank. She is angry, however, about his
behavior toward her and Jane. Mrs. Weston defends her stepson, telling Emma
that there were misunderstandings between him and Jane and that
he will be writing her a letter detailing the extenuating circumstances.
Mr. Churchill has given his consent to the match, though he has
requested that it remain secret until more time has passed after
his wife’s death. Mr. Weston enters the room, and Emma assures him
that the news of Frank’s engagement has not caused her any pain. Summary: Chapter 47  
 	Emma is filled with concern for Harriet. She is angrier
at herself than she is at Frank, because she believes that she should
have discouraged Harriet’s attachment to him. Jane’s behavior since
her arrival in Highbury is also put into perspective. Emma realizes
that Jane has been avoiding her because she has seen her as a rival.
Emma dreads telling Harriet the news, but when Harriet arrives at
Hartfield she has already heard the story from Mr. Weston. Emma
is surprised at Harriet’s composure, and it turns out that Harriet
never cared for Frank; she has been harboring feelings for Mr. Knightley.
Harriet knows that Mr. Knightley is of higher rank than she, but
she affirms that Emma has given her hope that she may raise herself
enough to be acceptable to him. 	Emma makes a startling discovery—she herself is in love
with Mr. Knightley! She conceals her emotion from Harriet, asking
Harriet whether she has reason to believe that Knightley returns
her feelings. Harriet recounts a number of instances in which Knightley
has shown her special attention, many of which Emma’s memory corroborates.
When Harriet departs, Emma is left to reflect that she has been
wrong about everything, including her own heart. Now Knightley may
debase himself by marrying Harriet, and she has made it all possible. Summary: Chapter 48  Emma rethinks all of the events of the past months. She
realizes that it has always been important to her to be “first”
with Mr. Knightley and that he has always had special concern for
her, but she cannot believe he could return her feelings, especially
when he has just been so angry with her about her rudeness to Miss
Bates. She still believes she would not marry him, even if he asked,
because she cannot leave her father. She anticipates having the
opportunity to observe him and Harriet together. 	Mrs. Weston arrives to report that she has just visited
with Jane and that Jane admitted to having suffered a good deal
since entering into the secret engagement. She blames herself for
her misjudgment and acknowledges Emma’s kindness during her sickness.
Hearing this account, Emma again expresses anger at Frank’s behavior.
Mrs. Weston again defends him, though she has not yet received his explanatory
letter, but Emma is too distracted by her thoughts about Mr. Knightley
to pay attention. Emma regrets once more that she was not a better
friend to Jane, as Knightley had advised, and she reflects on how
desolate life will be without Knightley’s constant visits to Hartfield. "
Chapters 49–51 ,"Summary: Chapter 49  
 	Emma goes for a walk in the garden. To her surprise,
Mr. Knightley joins her. He has just returned from London. She worries
that Knightley will confess his feelings for Harriet, and she offers
her news about Frank and Jane’s secret engagement. Knightley already knows
about it and offers his consolation, but Emma assures him she has
never had feelings for Frank. She explains and expresses regret
for her behavior, and Knightley is strangely silent. Finally, he admits
he may have underrated Frank and expresses envy at his circumstances.
Worried that Knightley is about to discuss Harriet, Emma quickly
silences him. He is mortified, and seeing his pain Emma invites
him to speak after all, saying she will be glad to hear him as a
friend. He says he does not wish her friendship and declares his
love. She is surprised, thrilled, and by the time they reach the house
they are engaged to marry. Knightley is surprised as well—he was
convinced that Emma was in love with Frank; he departed for London
to cool his feelings for her, and he has returned thinking she would
need comfort. He has moved from resigned despair to perfect happiness
in half an hour. Summary: Chapter 50  Emma can barely conceal her feelings as she and Mr. Knightley
join her father for tea. That night, Emma lies awake worrying about Harriet
and her father. She decides she will write a letter to Harriet explaining
what has happened and arrange for Harriet to visit Isabella in London
to give both of them some time to adjust to the new situation. She
decides that she and Knightley must postpone their wedding until
after her father dies. 	Mrs. Weston forwards Emma a letter from Frank in which
he explains that all of his actions, including his attentions to
Emma, were guided by a need to maintain the secrecy of his engagement
to Jane. He apologizes for his behavior, but explains that he could
tell Emma was not attached to him, and says that he was under the impression
that Emma already knew about him and Jane. He adores Jane and is
miserable that he has made her suffer. The couple quarreled the
morning of the Donwell Abbey party because Jane was upset about
his behavior toward Emma, thinking it an inappropriate way to maintain
their secret. Frank was upset about Jane’s caution, which he interpreted
as coldness. Frank then left for Richmond, and Jane wrote to him
to break off the engagement. He received the letter from Jane the
morning his aunt died, and in the flurry of subsequent correspondence
failed to send his conciliating response to her. She sent his letters
back to him, indicating that he could return her letters at her
governess post. This was the first news Frank had heard of her new
position, and he threw himself at his uncle’s mercy, receiving approval
for the match. He then sped to Highbury to find Jane very ill. They
reconciled, and Frank admits that he is happier than he deserves
to be. Summary: Chapter 51  Emma, in her own happiness, cannot help but forgive Frank.
When Knightley comes to her, she shares the letter with him. He
reads the letter, telling Emma his impressions as he goes along,
and he is less softened than she but willing to admit that Frank
has some good qualities. He and Emma discuss her father, and he
agrees that Emma cannot leave Hartfield and that Mr. Woodhouse cannot
be expected to move to Donwell Abbey. He suggests that he move to
Hartfield, and Emma is moved by his sacrifice. She promises to think
it over, and soon likes the plan—her only sadness is that this engagement and
relocation will estrange her and Harriet further. Analysis: Chapters 49–51 Nearly every sentence that passes between Emma and Knightley
in Chapter  	The emotional release of Chapter  "
Chapters 13–15 ,"Summary: Chapter 13  The Woodhouses and Knightleys are invited to the Westons’
for Christmas Eve dinner. Harriet and Mr. Elton are also included,
but Harriet comes down with a sore throat and is forced to miss
the gathering. Emma meets Mr. Elton while visiting Harriet and is pleased
by his attentions to her friend, but she remains puzzled that he
refuses her suggestion to skip the party since Harriet will not
be there. Mr. John Knightley witnesses the exchange and suggests
to Emma that Mr. Elton has feelings for her. Amused, Emma dismisses the
suggestion. When she and Mr. Elton travel to the gathering in the same
carriage, she is surprised that Mr. Elton’s concern for Harriet gives
way to cheerful anticipation of the evening ahead. Summary: Chapter 14  Entering the party, Emma attempts to put Mr. Elton’s strange
behavior out of her mind, but his constant hovering presence makes
her worry that Mr. John Knightley’s suggestion that Mr. Elton cares
for her may be correct. Meanwhile, Mr. Weston announces that Frank Churchill
is due to visit in early January. Emma feels some interest in this
news because she has half-seriously thought of Frank as a potential
suitor, though she does not anticipate giving up her vow to remain
single. Mrs. Weston confides to Emma that she has some anxiety about
meeting her stepson, and she fears Mrs. Churchill will prevent him
from coming. She and Emma speculate about the situation at Enscombe,
the Churchill estate, and Emma wonders why a young man should be
so dependent upon the impulses of his guardian. Summary: Chapter 15  Mr. Elton joins Emma in the drawing room and displeases
her by acting more concerned with her health than with Harriet’s.
John Knightley’s report that it has begun snowing leads to a small
crisis, and Mr. Woodhouse and Isabella are beside themselves with
worry about traveling the three-quarters of a mile home. Mr. Knightley assesses
the situation and reassures everyone that they will make it back
safely. 	In the confusion created by the party breaking up, Emma
finds herself alone in one of the carriages with Mr. Elton. He immediately declares
his love for her and proposes. Hoping that he is merely drunk, Emma
attempts to remind him that Harriet is the true object of his affections.
Astonished, Elton assures Emma that he has never been interested
in Harriet. Moreover, he is convinced that Emma has known of and
encouraged his sentiments. Emma sharply rebukes him and refuses
his proposal, and the two travel the remainder of the journey in
angry silence. Analysis: Chapters 13–15 Emma’s belief that she is different from others cannot
merely be attributed to her sense of superiority; it also results
from her ambition to make her life more interesting and more useful
than the limitations of village life seem to allow. Observing and
imagining the destinies of other lives exercises her intellect.
We might think of Emma as a kind of novelist creating plots for
the characters that people her world. In this sense, she may be
closer to Austen than her mistakes would lead us to believe. In
fact, Emma is somewhat prudish, afraid to consider marriage for
herself, despite her belief that “a good match” is the key to happiness
for her friends. Alert to what she believes are the subtleties of
flirtation between Harriet and Mr. Elton, she is incapable or unwilling
to see that she might be engaging in such social games herself. 	Emma’s confrontation with Mr. Elton is the novel’s first
major crisis. The true turning point is not Elton’s proposal, however,
but his accusation that Emma has known that she was the object of
his affections all along. He says, “I am sure you have seen and
understood me,” and for the first time in the novel Emma is at a
loss for words, fiercely angry. This is the first instance in which
Emma is implicated in the social interactions that she believed
she was manipulating from a position of control and detachment.
She has understood her own calculating behavior as beyond reproach,
in a sense invisible, and suddenly she is seen and placed within
the society from which she believed she has separated herself, forced
to realize that she has been lying to both Harriet and herself. "
Chapters 52–55 ,"Summary: Chapter 52  Harriet agrees to Emma’s plan to send her to London on
the pretense that she needs to see a dentist, which satisfies Emma
since she does not want to hurt Harriet with news of Emma and Mr.
Knightley’s engagement. Emma decides not to tell her father of her
engagement until Mrs. Weston, who is pregnant, has given birth to
her baby. Meanwhile, she pays a visit to Jane. They are unable to
speak openly because Mrs. Elton is there, and Jane’s engagement
is still supposed to be a secret. However, Emma interprets some
of Mrs. Elton’s remarks and expressions as ostentatious indications
that Mrs. Elton is in on the secret of Jane and Frank’s engagement. 	Mr. Elton turns up, annoyed that Mr. Knightley has missed
a meeting with him. Emma decides he must be waiting for her at Hartfield
and leaves. When Jane walks her out, they are reconciled, each feeling
that she owes the other an apology, both full of goodwill. Summary: Chapter 53  Mrs. Weston safely delivers a baby girl, much to Emma’s
delight. Mr. Knightley reminisces about how headstrong Emma was
when she was a child. She expresses gratitude that he so often corrected her
mistakes, and he asserts that she would have done just as well without
him. Emma is grieved that she cannot speak more openly with him
about Harriet. Mr. John Knightley congratulates Mr. Knightley and
Emma on their engagement, and shocks the couple by saying that he
is not surprised by their news. 	Emma works up the courage to give her father the news.
Mr. Woodhouse is shocked, but he gradually begins to resign himself
to it. Mrs. Weston helps persuade him that his happiness will be increased
rather than diminished. She is surprised and overwhelmingly pleased
by the match. Mr. Weston shares the news with Jane and Miss Bates,
and soon Emma and Knightley’s engagement is the talk of Highbury.
Only the Eltons are displeased that Emma has made such a good match. Summary: Chapter 54  Mr. Knightley has news for Emma: Harriet is to marry Robert
Martin. Knightley had sent Mr. Martin to London with a package for
his brother while Harriet was there, and Mr. Martin began to spend time
with the family. Knightley worries that Emma is upset, but in fact
she is thrilled, amazed, and amused at Harriet’s rapid recovery. Emma
is thankful that she has not done Harriet greater injury, and she
is glad that soon she will no longer need to conceal Harriet’s emotional
state from Knightley. 	Emma and Mr. Knightley go to visit Randalls and find
Frank and Jane there. At first, Emma’s meeting with Frank is awkward,
but soon they are back on easy terms, joking about all that has
passed. Frank’s ability to speak lightly of all he and Jane have
suffered is not entirely approved by his fiancée, and Emma feels
Knightley’s superiority to Frank. "
chapter,text
Chapters 1–3 ,"Summary: Chapter 1  
 	The narrator opens the novel by introducing us to Emma
Woodhouse, a girl endowed with “some of the best blessings of existence,”
including good looks, intelligence, riches, and an affectionate father.
Emma’s only disadvantages are that she is slightly spoiled and that
she thinks “a little too well of herself.” Emma’s mother died before
Emma could form many memories of her, but her gentle governess,
Miss Taylor, provided a motherly love. After Emma’s older sister,
Isabella, was married and moved to London, Miss Taylor and Emma
became best friends. 	As the novel begins, Miss Taylor has just left Hartfield,
the estate of Emma and Mr. Woodhouse, to marry a widower named Mr. Weston,
and Emma is left without a companion. She attempts to comfort her
despondent father, who hates change, with the thought that they
will see the new Mrs. Weston often, but Emma only partially succeeds
in comforting herself. At this moment, neighborhood resident Mr.
Knightley, the brother of Isabella’s husband, pays a visit, having
returned from visiting their mutual relations in London. He affirms
the appropriateness of the match between Mr. Weston and Miss Taylor
and gently chides Emma when she claims credit. Emma declares that
she will repeat her matchmaking success by finding a wife for Mr.
Elton, the village rector. Summary: Chapter 2  The narrator recounts Mr. Weston’s history. His first
marriage was to a woman named Miss Churchill, who came from a higher
class than his. They had a son, named Frank, but the marriage was
overshadowed by the disapproval of Mrs. Weston’s brother and sister-in-law,
Mr. and Mrs. Churchill. When Mrs. Weston died after three years
of marriage, Frank was essentially adopted by Mr. and Mrs. Churchill
and made their heir. Mr. Weston, left impoverished by the expectations
of his first wife, spent the next twenty years of his life rebuilding
his fortune. He eventually purchased Randalls, the small estate
where he lives with the second Mrs. Weston. 	The village has always been curious to see Frank Churchill,
who writes a kind letter to Mrs. Weston indicating that he will
pay a visit to his father and stepmother. Summary: Chapter 3  The Woodhouses give a small dinner party, to which they
invite other members of their social circle: the widow Mrs. Bates;
her single, middle-aged daughter, Miss Bates; and Mrs. Goddard,
the mistress of the local boarding school. Mrs. Goddard brings one
of her boarders, Harriet Smith, a girl whose parentage is unknown.
Emma admires Harriet for her beauty and for her respect of Emma
and Hartfield. She resolves to pursue friendship with Harriet, and
to improve the naïve girl by detaching her from the inferior acquaintance
of the farming Martin family. She plans to introduce Harriet to
higher society. Analysis: Chapters 1–3 The narration of these opening chapters creates a complicated
portrait of Emma as a young, beautiful, clever, and confident character who
exercises her influence in a constricted and complex environment
and has much to learn about friendship, love, and the ways of the
world. Emma’s affection for Miss Taylor and her kindness to her foolish
and somewhat tiresome father reveal Emma’s capacity for true warmth
and generosity. But, at the same time, the narrator quickly alerts
us to the ways in which Emma is spoiled by her advantages and blinded
by her own self-regard. Most explicitly, we are told at the novel’s
beginning: "
Chapters 25–27 ,"Summary: Chapter 25  Emma’s good opinion of Frank Churchill is injured when
he makes a day trip to London just to have his hair cut. Though
Emma does not feel inclined to give up her vow to remain single,
she decides that Frank is pleasing enough that she does not mind
being associated with him in other people’s minds. Mr. Knightley
thinks Frank is a silly young man, just as he had suspected. 	Meanwhile, an invitation from the Coles, successful tradespeople
who live in Highbury, creates a conundrum for Emma. She had originally
decided that she would not accept an invitation from the nouveau-riche
family, but when everyone except the Woodhouses receives an invitation
to a dinner party at the Coles’ home, Emma feels left out. When
an invitation arrives, she decides to accept it. Summary: Chapter 26  Emma arrives at the Coles’ party behind Mr. Knightley.
Because Knightley usually walks, Emma is surprised that he has come
in his carriage. At dinner, it is revealed that Jane Fairfax has
received the mysterious gift of a pianoforte. People assume the
piano is from Colonel Campbell, but Emma tells Frank she suspects
that it is a gift from Mr. Dixon. When Jane arrives later, she blushes
when questioned about the piano. 	Meanwhile, Mrs. Weston tells Emma that Mr. Knightley
brought his carriage so that he could convey Jane home. Mrs. Weston
suggests that a match may be forming between Jane and Mr. Knightley, but
Emma resists this supposition vigorously, explaining that she cannot
bear the thought of Mr. Knightley marrying because then her nephew,
George and Isabella’s son Henry, will not be able to inherit Donwell
Abbey, the Knightley estate in the town of the same name. Mrs. Weston
suspects that Mr. Knightley is the one who sent Jane the pianoforte. 	Emma and Jane sing and play the piano for the company,
with Frank accompanying. When Frank persuades Jane to sing one more song
after her voice has begun to grow hoarse, Mr. Knightley intervenes.
Emma questions Mr. Knightley about the carriage and pianoforte.
His answers convince her that he did not send the gift, but do not
enable her to decide if he has feelings for Jane. When impromptu dancing
begins, she is relieved that he does not ask Jane to dance. Emma
is also pleased that Frank immediately asks her and not Jane for
a dance. There is time for only two dances, however, before the party
breaks up. Frank comments to Emma that he is lucky the dancing had
to end; otherwise he would have found himself asking Jane Fairfax
for a dance. Summary: Chapter 27  Emma is thoroughly pleased with her evening at the Coles,
but she is uncertain about the appropriateness of telling Frank
about her suspicions about Jane or acknowledging the superiority
of Jane’s musical abilities. At the Coles’ party, Harriet heard
that Mr. Martin had dined with the Cox family, and there is a rumor
that a Cox daughter would like to marry Mr. Martin. To distract
and protect Harriet, Emma accompanies her on a shopping trip. They
then decide to pay a visit to the Bates household and run into Frank
and Mrs. Weston on their way. The visit seems to have been Frank’s
idea, but he offers to stay with Emma and send Mrs. Weston to make
the visit on her own. Emma sends him along, knowing that he will
later come see her at Hartfield, but Miss Bates then comes into
the shop to ask Emma to come give her opinion of Jane’s new pianoforte.
In her rambling, Miss Bates reveals that Mr. Knightley has sent
his last apples of the season to Jane, who is particularly fond
of them. "
Chapters 7–9 ,"Summary: Chapter 7  Harriet receives a letter from Mr. Martin proposing marriage
and goes directly to Emma to seek advice. Emma acts as if there
is obviously no doubt that Harriet should not accept, and she proceeds
to offer Harriet advice about the wording of her refusal. When it becomes
clear that Harriet is doubtful about her answer, Emma becomes somewhat
cold and disingenuously states, “I shall not give you any advice,
Harriet. . . . This is a point which you must settle with your own
feelings.” When, under Emma’s subtle guidance, Harriet states that
she will probably reject Mr. Martin, Emma immediately congratulates
her friend on having made the right decision and points out that
if Harriet had accepted him, then Emma would no longer be able to
be her friend. Harriet immediately affirms that the loss of Emma
is unthinkable, and the two of them draft a letter refusing the
proposal. It is clear that Harriet is pained by her decision and
cares for Mr. Martin, but Emma cheers her up with reminders of Mr.
Elton. Summary: Chapter 8  With Harriet at Mrs. Goddard’s preparing for an extended
visit to Hartfield, Mr. Knightley and Emma have the opportunity
for a lengthy conversation about Harriet and Mr. Martin. Knightley reveals
that Mr. Martin has consulted him about proposing to Harriet, and
Mr. Knightley makes it clear that he supports the match. Emma informs
him that the proposal has already been made and rejected, and she
insists that Mr. Martin is not Harriet’s equal. Knightley very nearly
loses his temper, and he insists upon Mr. Martin’s superiority to
Harriet in sense and “true gentility.” Knightley is especially displeased
by what he immediately guesses was Emma’s role in the rejection,
and he states flatly, “You have been no friend to Harriet Smith.”
Emma counters that Harriet’s beauty and good temper, along with
the possibility that she is the daughter of a gentleman, make her
a desirable match. Knightley tells Emma that if she thinks Mr. Elton
will marry Harriet, she is wrong, because Elton will only marry
a woman with money. Vexed with one another, Emma and Knightley part
ways. Emma is comforted by the return of Harriet, who has heard
a rumor that Elton is on an important errand regarding a lady. Summary: Chapter 9  Emma and Harriet have been collecting riddles (also called
“charades”) into a scrapbook, and when Mr. Elton returns from London with
the framed portrait of Harriet, he contributes one. Emma immediately
decodes the riddle and sees that its answer is the word “courtship.”
She translates the riddle for Harriet, who could not solve it herself,
but Harriet is nonetheless flattered by its meaning. Emma convinces
Harriet that the riddle foretells a proposal, and she copies the
riddle into Harriet’s book. After some discussion among the family
anticipating the upcoming Christmas visit of Isabella, Mr. John
Knightley, and their children, Emma tells Mr. Elton that she has
solved his charade and copied it into Harriet’s book. Elton is clearly
moved, and Emma concludes that his emotion comes from seeing his
riddle in Harriet’s book. Analysis: Chapters 7–9 Chapters  Emma’s conversation with Mr. Knightley, in Chapter  	Sharing riddles was a common genteel pastime in the early
nineteenth century, and the riddle in Chapter  "
Chapters 28–30 ,"Summary: Chapter 28  Emma enters the Bates’ sitting room and finds Frank occupied
with fixing Mrs. Bates’s glasses and Jane seated at the piano. Frank
asks Jane questions about how she imagines the piano came to her,
and his comment, “True affection only could have prompted it,” makes Jane
blush. Believing that Frank is teasing Jane unkindly about Mr. Dixon,
Emma whispers that he should stop, and she regrets having shared
her speculations about Jane with him. Mr. Knightley stops by to
check on Jane’s health but refuses to come in when he hears that Frank
is there. Summary: Chapter 29  While the Woodhouses are visiting Randalls, Frank and
Emma work on planning a ball so they can finish the dancing inaugurated at
the Coles’. They decide the room at Randalls is too small. Mr. Woodhouse
privately tells Mrs. Weston his concern that Frank is so thoughtless
about opening and shutting doors that he exposes Emma, Harriet,
and Mrs. Weston to dangerous drafts. The next solution proposed
by Frank on behalf of Mr. Weston is that the ball be given at the
Crown Inn. Though Frank does a poor job reassuring Mr. Woodhouse
that this plan will not give them all colds, Emma comforts her father,
and she agrees to the plan. There are further practical difficulties,
and Frank proposes he go fetch Miss Bates along with her niece,
whom Frank admits he does not immediately recollect, for advice.
By the time he returns, the difficulties have been resolved, the
date of the ball has been set, and Frank secures from Emma a promise
to dance the first two dances with him. Summary: Chapter 30  Emma is worried that Frank’s aunt, Mrs. Churchill, will
refuse Frank permission to stay on for the ball, which is scheduled
for a few days after his visit is scheduled to end. To everyone’s
relief, he receives this permission. Only Mr. Knightley refuses
to look forward to the ball: he does not seem interested in dancing.
Emma takes Knightley’s diffidence as further proof that he is not
interested in Jane, who in a rare moment of openness confesses how
much she looks forward to the ball. 	Two days later, Frank is called back to Enscombe because
his aunt is ill. The ball is postponed indefinitely, and Frank comes
to Emma to say goodbye. He is clearly dejected and speaks haltingly—for
a moment, it seems as if he is going to declare something serious. Interrupted
by his father, Frank departs, and Emma is depressed. Highbury society
is, it seems for Emma, severely diminished without Frank’s charms.
Emma concludes that she must be “a little in love” with Frank after
all. Analysis: Chapters 28–30 During Emma and Frank’s visit to the Bates’, Emma, Frank,
and Jane are all aware that the dialogue taking place has a subtext,
but Austen crafts Frank’s words so that the subtexts Emma and Jane read
differ from one another. At this point in the novel, our misperceptions
are likely to closely match Emma’s, and we follow her in believing
that Frank’s teasing of Jane about the origins of her piano cruelly
refers to Mr. Dixon. Though Emma gossips maliciously about Jane, her selfless
protectiveness of Jane when she believes Frank to be teasing her
shows that Emma’s willingness to amuse herself at the expense of
another has limits. When we later learn that the piano is actually
a gift from Frank, Jane’s secret fiancé, we realize that his teasing
is more good-natured, emphasizing his own gesture of affection. "
Chapters 4–6 ,"Summary: Chapter 4  Emma and Harriet strike up an immediate intimacy as Harriet replaces
Mrs. Weston as Emma’s companion on her habitual walks. Emma remains
unimpressed with Harriet’s intelligence but appreciates her willingness
to be guided. Emma encourages Harriet to tell everything about herself,
and their conversation soon centers on the Martin family, which
Harriet has visited frequently over the past two months. Emma is
alarmed to learn that the family includes an eligible bachelor,
Mr. Robert Martin, and fears that her friend may have feelings for
him. A match between Harriet and Mr. Martin would be unacceptable
to Emma because the Martins are farmers, and therefore, in her opinion,
socially beneath her new friend. She discourages Harriet from thinking
well of Mr. Martin by asking questions about his education and predicting
that any wife Mr. Martin takes will be too inferior to merit friendship
with Harriet. After they run into Mr. Martin on one of their walks,
Emma encourages Harriet to compare his manners with those of the
gentlemen they know, praising Mr. Elton’s manners as particularly
genteel. The narrator reveals that Emma determined during the party
at Hartfield to encourage a match between Harriet and Mr. Elton. Summary: Chapter 5  Mr. Knightley and Mrs. Weston converse about Emma’s new
friendship with Harriet. Knightley believes that the friendship
is dangerous for both parties. Harriet’s flattery, Knightley suspects,
will reinforce Emma’s self-regard, while Emma’s influence will injure Harriet’s
happiness, because Harriet “will grow just refined enough to be
uncomfortable with those among whom birth and circumstance have
placed her home.” Mrs. Weston disagrees, believing that Emma needs
Harriet’s companionship and that Emma’s company will improve Harriet.
She advises Knightley to keep his mouth shut, and the conversation
ends with speculation about what will become of Emma. Noting Emma’s
declaration that she will never marry and her lack of suitable prospects,
Knightley comments that he “should like to see Emma in love, and
in some doubt of a return; it would do her good.” Summary: Chapter 6  Emma continues to point out Mr. Elton’s finer qualities
to Harriet and is convinced that he is already in love with her
friend. Mr. Elton praises the graces that Harriet has gained in
Emma’s company, and he quickly seconds Emma’s idea to paint a watercolor
portrait of Harriet. As Emma paints, Mr. Elton is only too attentive
to her progress, and though Mrs. Weston and Mr. Knightley point
out that Emma has exaggerated Harriet’s beauty, Mr. Elton emphatically praises
the portrait’s likeness. He volunteers to take the watercolor to
London to be framed. All the while, Emma continues to believe that
Mr. Elton’s enthusiasm is for Harriet, though Mr. Elton makes comments
on Emma’s skill in rendering and improving on the beautiful subject. Analysis: Chapters 4–6 Over the course of these three chapters, we learn that
Emma is extremely class-conscious and also somewhat manipulative.
She unattractively dismisses Robert Martin because of his social
class, saying, “The yeomanry [the class of farmers who hold land
under long- term leases] are precisely the order of people with
whom I feel I can have nothing to do. A degree or two lower, and
a creditable appearance might interest me; I might hope to be useful
to their families in some way or another.” In other words, Emma
is only interested in people who are of her social class or so far
beneath her that she might, from a comfortable position of superiority,
flatter herself by being “useful” to them. Such superior usefulness
is what Emma attempts with Harriet, and she even lies to her friend
in order to manipulate her. Although Emma observes to herself that
Mr. Martin’s “appearance was very neat and he looked like a sensible
young man,” she tells Harriet, “He is very plain … remarkably plain,
but that is nothing compared to his entire want of gentility.” 	Mr. Knightley and Mrs. Weston make Emma seem more likable than
she makes herself seem. Because Knightley shows himself to have
good sense, and also because he is the one character willing to find
fault with Emma, he is the novel’s most reliable mouthpiece for Austen’s
views of Emma. His discussion of Emma shows that he genuinely cares
for her but views her as a child lacking sense and understanding
rather than as an equal. He believes that Emma has been “spoiled
by being the cleverest of her family” but respects her stubbornness
and independence. He also admits that though Emma is very pretty,
she is not vain about her looks; “her vanity lies another way.”
Knightley’s pointed criticisms are offset by Mrs. Weston’s dismissive
remarks that Emma is a caring daughter, sister, and friend who “will
make no lasting blunder.” 	Like Austen’s narration, the dialogue between characters
frequently contains a subtext available only to certain characters
or to the reader. For instance, when Emma says to Harriet, “I wish
you may not get into a scrape, Harriet, when ever [Mr. Martin] does marry—I
mean as to being acquainted with his wife … it does not follow that
he might marry anybody at all fit for you to notice,” we admire
the cleverness of Emma’s suggestion to Harriet that Mr. Martin is
beneath her, even as we disapprove of Emma’s action. Chapter  "
